,Step,AE_Keys,mean,std
40,12000,obj,4.7796656974901754,0.001435597237411929
41,12000,rgb,6.239170834422112,0.7035547220410926
42,12000,rgb + obj,6.305771633982659,0.9458593747370903
43,12000,rgb + obj_encoding_only,6.130339842041334,0.44248781149918626
44,13000,obj,4.544553453785678,0.0016437002641770133
45,13000,rgb,5.931063606403768,0.7037975621585313
46,13000,rgb + obj,5.986821732980509,0.6039006272079236
47,13000,rgb + obj_encoding_only,5.837932032408814,0.2309167924919916
48,14000,obj,4.344757956825196,0.001408796174710696
49,14000,rgb,5.658590444425742,0.5561948001453122
50,14000,rgb + obj,5.72273575514555,0.5744587662481727
51,14000,rgb + obj_encoding_only,5.552356625099977,0.18027807172083843
52,15000,obj,4.126018523114423,0.0010383800399843973
53,15000,rgb,5.408905377425254,0.44117780554416736
54,15000,rgb + obj,5.490660316186647,0.5781025525251322
55,15000,rgb + obj_encoding_only,5.330868624088664,0.10656831074747831
56,16000,obj,3.9852017932261026,0.0011060284804390334
57,16000,rgb,5.218205697213611,0.44837690683201314
58,16000,rgb + obj,5.287912232552966,0.5168800773720792
59,16000,rgb + obj_encoding_only,5.140061051522692,0.12954865682105277
60,17000,obj,3.848544316676756,0.0012191493043824002
61,17000,rgb,5.047009132616222,0.5364276251256608
62,17000,rgb + obj,5.11081248751531,0.4774509690100418
63,17000,rgb + obj_encoding_only,4.979612428260347,0.24287225287852512
64,18000,obj,3.7312146221597993,0.0007266870416381675
65,18000,rgb,4.892469204651813,0.5804075206092344
66,18000,rgb + obj,4.932266447134316,0.5635341735907078
67,18000,rgb + obj_encoding_only,4.814879851726195,0.14997848451552176
68,19000,obj,3.5929651744663715,0.0008180971288802814
69,19000,rgb,4.725839483303328,0.4993504881888008
70,19000,rgb + obj,4.771832684241235,0.4472936100756402
71,19000,rgb + obj_encoding_only,4.687837437354029,0.11894129699477048
72,20000,obj,3.508047192109128,0.000741185413665406
73,20000,rgb,4.6177831304570045,0.4808167482741557
74,20000,rgb + obj,4.677143666396539,0.42922340774533324
75,20000,rgb + obj_encoding_only,4.616922312229872,0.07106900669574714
76,21000,obj,3.4623083569730326,0.0004131590703172409
77,21000,rgb,4.563395643793046,0.3570648082607613
78,21000,rgb + obj,4.603084962132076,0.3912868711012836
79,21000,rgb + obj_encoding_only,4.535954905115068,0.12785359461646575
80,22000,obj,3.3885789855072894,0.0003767464501313629
81,22000,rgb,4.453275916787485,0.43901813970333053
82,22000,rgb + obj,4.470302818032602,0.34930029615535946
83,22000,rgb + obj_encoding_only,4.442547080727914,0.14894160072708273
84,23000,obj,3.3171601865440605,0.00035009024234604834
85,23000,rgb,4.36359838998566,0.4243349401186469
86,23000,rgb + obj,4.405572012625635,0.26710330306534175
87,23000,rgb + obj_encoding_only,4.39449241515249,0.1445406425651502
88,24000,obj,3.2725789212932193,5.392822398467974e-05
89,24000,rgb,4.306325978847841,0.4437729686710893
90,24000,rgb + obj,4.356308717342715,0.276369875094793
91,24000,rgb + obj_encoding_only,4.336539239498476,0.23771589545055258
92,25000,obj,3.229252778490385,0.0001690151853109949
93,25000,rgb,4.249028802104294,0.3701869723898034
94,25000,rgb + obj,4.291531046417853,0.28924723328881385
95,25000,rgb + obj_encoding_only,4.251860324727992,0.1488814582210303
96,26000,obj,3.164795935588578,0.00023120790039582922
97,26000,rgb,4.165964162598053,0.39586891599718776
98,26000,rgb + obj,4.207326702525219,0.3211277446689836
99,26000,rgb + obj_encoding_only,4.17095181569457,0.18807956049902785
100,27000,obj,3.1140400748079022,7.254131753137477e-05
101,27000,rgb,4.1120465733731795,0.3175053319224723
102,27000,rgb + obj,4.157152920775116,0.25296977963454587
103,27000,rgb + obj_encoding_only,4.118887342823048,0.1754006331520829
104,28000,obj,3.0788964264094827,0.00035010635489126426
105,28000,rgb,4.066692019936939,0.3998148337908678
