,Step,AE_Keys,mean,std
40,22000,obj,0.01628639499346415,0.0003767464501313629
41,22000,rgb + obj,0.0177914301554362,0.0026387556572534288
42,23000,obj,0.015705140617986522,0.00035009024234604834
43,23000,rgb + obj,0.01740713492035866,0.0020011861293573623
44,24000,obj,0.015642602803806464,5.392822398467974e-05
45,24000,rgb + obj,0.017369982227683066,0.0016993216657933917
46,25000,obj,0.015613076649606225,0.0001690151853109949
47,25000,rgb + obj,0.0173048826555411,0.00209336289248914
48,26000,obj,0.015439575289686522,0.00023120790039582922
49,26000,rgb + obj,0.017093254936238127,0.002908916259541766
50,27000,obj,0.015204354872306185,7.254131753137477e-05
51,27000,rgb + obj,0.016794526763260365,0.002087503603204921
52,28000,obj,0.014986219381292663,0.00035010635489126426
53,28000,rgb + obj,0.01656835613151391,0.0029739395173353964
54,29000,obj,0.014731969001392523,6.0432560951652126e-05
55,29000,rgb + obj,0.016154970973730087,0.002172411330981987
56,30000,obj,0.014420200015107793,0.00023023808997087348
57,30000,rgb + obj,0.01587411879251401,0.002367975909157332
58,31000,obj,0.01417060357828935,0.00024673641706940956
59,31000,rgb + obj,0.015622634254395962,0.0020228404597524533
60,32000,obj,0.0141307366391023,7.520680801965525e-05
61,32000,rgb + obj,0.01551092068354289,0.0018841678600686612
62,33000,obj,0.013974537824591002,0.0003890315862335372
63,33000,rgb + obj,0.015455720387399197,0.0020287796628489408
64,34000,obj,0.013983961070577306,0.0002695670136211143
65,34000,rgb + obj,0.015352826503415903,0.002232936511854858
66,35000,obj,0.013972392181555429,0.0005105208840212039
67,35000,rgb + obj,0.015403582466145357,0.0026052176695443947
68,36000,obj,0.013952512107789517,0.0003179273919792775
69,36000,rgb + obj,0.015441568195819854,0.0018025619496473428
70,37000,obj,0.014038898795843125,0.00047095393733012186
71,37000,rgb + obj,0.015438726978997392,0.0013428884578031198
72,38000,obj,0.01396090320001046,0.0002488850890694507
73,38000,rgb + obj,0.015329921680192154,0.0017872029532847136
74,39000,obj,0.013867067048947019,0.0004851986429447295
75,39000,rgb + obj,0.015206779167056084,0.0015037878000632254
76,40000,obj,0.013840592714647455,0.0004849192872153961
77,40000,rgb + obj,0.01523311162988345,0.0017054526455168198
78,41000,obj,0.013814919007321198,0.0004232522650277952
79,41000,rgb + obj,0.015201349059740705,0.001794032407388505
80,42000,obj,0.01379350759088993,0.0005306888831621354
81,42000,rgb + obj,0.015327330492436887,0.0017208980836225264
82,43000,obj,0.013889442943036557,0.0004157166529068317
83,43000,rgb + obj,0.015394125133752823,0.0016620874263371258
84,44000,obj,0.013865492244561513,0.00031438701855831066
85,44000,rgb + obj,0.015495905528465909,0.002046054383643857
86,45000,obj,0.013810057255129021,0.0003892383597647452
87,45000,rgb + obj,0.015413198930521807,0.0015419631189669792
88,46000,obj,0.013796112375954786,0.0005687375257402642
89,46000,rgb + obj,0.01556988563388586,0.0017054881220287823
90,47000,obj,0.013821850282450514,0.0005585162416132182
91,47000,rgb + obj,0.015456248447299004,0.0014398216089604586
92,48000,obj,0.013766243495047093,0.0004245353664549563
93,48000,rgb + obj,0.015709905264278252,0.0015605033603887973
94,49000,obj,0.013931317006548243,0.0001004172530053658
95,49000,rgb + obj,0.015862496321400004,0.0018599430357498015
96,50000,obj,0.014186448479692141,0.00012835149146773634
97,50000,rgb + obj,0.0160393084709843,0.001777570502082535
98,51000,obj,0.01405506351341804,0.00041004219597142236
99,51000,rgb + obj,0.01587205156683922,0.0014963989096530327
100,52000,obj,0.013939220396180948,0.0006164348158793967
101,52000,rgb + obj,0.015800913609564305,0.0023359290923316255
102,53000,obj,0.013967526952425638,0.0002709934603291176
103,53000,rgb + obj,0.015694296360015868,0.0017627386380457844
104,54000,obj,0.013855740365882715,0.0002937946412796304
105,54000,rgb + obj,0.015622178713480633,0.0017624148535387604
106,55000,obj,0.013723238185048104,0.00022018303697067773
107,55000,rgb + obj,0.015357250285645326,0.0014193685076317724
108,56000,obj,0.013631774050494035,6.540881106138389e-05
109,56000,rgb + obj,0.0151914785305659,0.0016416161223479814
110,57000,obj,0.01343513634055853,0.00025592999929139676
111,57000,rgb + obj,0.015164146137734254,0.000899813410823321
112,58000,obj,0.01351431974520286,6.907067874050481e-05
113,58000,rgb + obj,0.015354068142672378,0.0017327401579827308
114,59000,obj,0.01377403512597084,0.0001872103017924525
