,Step,AE_Keys,mean,std
0,2000,rgb,,17.393831715842847
1,2000,rgb + obj,,8.108310759002674
2,2000,rgb + obj_encoding_only,,11.240730443230847
3,3000,rgb,,0.7776660545910405
4,3000,rgb + obj,99.5877700805664,1.4215707955690569
5,3000,rgb + obj_encoding_only,72.16996014912924,1.5570086991017993
6,4000,rgb,45.08132578531901,0.5428192842018211
7,4000,rgb + obj,16.06410929361979,1.2143387254649953
8,4000,rgb + obj_encoding_only,15.170035552978515,1.511230928942142
9,5000,rgb,13.988737932840982,0.6652904817756454
10,5000,rgb + obj,13.163211631774903,1.3440738159149674
11,5000,rgb + obj_encoding_only,12.6188783009847,0.8461559745496536
12,6000,rgb,11.888086827596029,0.5162511986146411
13,6000,rgb + obj,11.467258961995444,1.5076655277253144
14,6000,rgb + obj_encoding_only,11.23784236907959,0.1204547272112229
15,7000,rgb,10.670328458150228,0.359486093666238
16,7000,rgb + obj,10.480246353149415,1.3896370718416318
17,7000,rgb + obj_encoding_only,10.431280136108398,0.07745569237240357
18,8000,rgb,10.01958688100179,0.3639350328280182
19,8000,rgb + obj,9.877407201131184,1.1223579894691225
20,8000,rgb + obj_encoding_only,9.877534675598145,0.2295481979747378
21,9000,rgb,9.442008209228515,0.5300881597217372
22,9000,rgb + obj,9.280119387308755,1.2342502491933618
23,9000,rgb + obj_encoding_only,9.27867088317871,0.42963380085768327
24,10000,rgb,8.856461334228516,0.7918857626624194
25,10000,rgb + obj,8.714633496602376,1.2759984948217975
26,10000,rgb + obj_encoding_only,8.749211184183757,0.39366442182499917
27,11000,rgb,8.36035884221395,0.8006135962343647
28,11000,rgb + obj,8.229842885335287,1.0139806112838576
29,11000,rgb + obj_encoding_only,8.240995438893638,0.5196622326879224
30,12000,rgb,7.928084150950115,0.7035547220410926
31,12000,rgb + obj,7.8000411033630375,0.9418057107422443
32,12000,rgb + obj_encoding_only,7.784743690490723,0.44248781149918626
33,13000,rgb,7.5101522445678714,0.7037975621585313
34,13000,rgb + obj,7.433629004160562,0.601123577353482
35,13000,rgb + obj_encoding_only,7.399849287668864,0.2309167924919916
36,14000,rgb,7.145488103230794,0.5561948001453122
37,14000,rgb + obj,7.097611840565999,0.5717432157996085
38,14000,rgb + obj_encoding_only,7.056133429209391,0.18027807172083843
39,15000,rgb,6.829576269785562,0.44117780554416736
40,15000,rgb + obj,6.793763542175293,0.5748454233687044
41,15000,rgb + obj_encoding_only,6.770923519134522,0.10656831074747831
42,16000,rgb,6.558474095662435,0.44837690683201314
43,16000,rgb + obj,6.560557397206624,0.5135303731908505
44,16000,rgb + obj_encoding_only,6.525587654113769,0.12954865682105277
45,17000,rgb,6.333357079823812,0.5364276251256608
46,17000,rgb + obj,6.334089692433675,0.47461682744134287
47,17000,rgb + obj_encoding_only,6.322634633382162,0.24287225287852512
48,18000,rgb,6.136121209462484,0.5804075206092344
49,18000,rgb + obj,6.121529324849447,0.5599141397823866
50,18000,rgb + obj_encoding_only,6.102655188242595,0.14997848451552176
51,19000,rgb,5.943142859141032,0.4993504881888008
52,19000,rgb + obj,5.9241353670756025,0.4450809379501295
53,19000,rgb + obj_encoding_only,5.917165470123291,0.11894129699477048
54,20000,rgb,5.7930548350016275,0.4808167482741557
55,20000,rgb + obj,5.801050122578938,0.42664092266971243
56,20000,rgb + obj_encoding_only,5.815339533487956,0.07106900669574714
57,21000,rgb,5.713515885670979,0.3570648082607613
58,21000,rgb + obj,5.704308764139812,0.3886895124916873
